"Study ","  y  ","  x  ","  N  ","  \sigma^2_{Iy}  ","  \sigma^2_{Sy}  ","  \sigma^2_{Ix}  ","  \sigma^2_{Sx} ","  \sigma_{IySy} "," \sigma_{IyIx} "," \sigma_{IySx} ","  \sigma_{SyIx} ","  \sigma_{SySx} ","  \sigma_{IxSx} ","  \sigma^2_{\epsilon_y} ","  \sigma^2_{\epsilon_x} "," \sigma_{\epsilon_y\epsilon_x}  "," Waves "," Length"
"VHYS "," Dep "," OpD ",662,3.583,0.048,3.22,0.029,-0.102,2.061,-0.066,-0.034,0.023,-0.103,3.115,2.242,0.868,4,6.83
"VHYS "," Anx "," FrAc ",662,3.446,0.042,9.6,0.205,-0.098,1.731,-0.343,-0.275,0.055,-0.112,3.233,23.633,0.238,4,6.83
"VHYS "," Dep "," FrAc ",662,3.577,0.048,9.636,0.205,-0.105,1.096,-0.301,-0.263,0.036,-0.117,3.12,23.625,0.052,4,6.83
"VHYS "," OpD "," FrAc ",662,3.221,0.029,9.602,0.205,-0.104,0.597,-0.024,-0.128,0.023,-0.106,2.246,23.62,-0.069,4,6.83
"VLS "," RT "," WRC ",521,2871.932,27.38,14.099,0.056,41.831,-62.296,-3.546,-5.849,-0.591,0.25,2816.22,4.992,-5.299,4,9.5
"VLS "," RT "," IPic ",521,2839.34,32.226,28.799,0.838,42.721,-139.087,-2.772,-1.572,-2.94,-0.563,2861.373,17.472,-21.366,4,9.5
"VLS "," WRC "," IPic ",522,14.164,0.055,28.989,0.85,0.239,10.101,-0.418,0.301,0.074,-0.656,5.01,17.356,-0.345,4,9.5
"VLS "," SA "," IPic ",504,33.556,0.176,28.02,0.898,-0.322,7.423,-0.284,-0.044,0.013,-0.731,12.874,17.494,-0.833,4,9.5
"VLS "," SA "," RT ",503,33.611,0.179,2742.526,27.323,-0.327,-17.304,2.364,-2.138,-1.051,23.029,12.843,2769.302,8.736,4,9.5
"VLS "," PA "," RT ",503,17.854,0.09,2742.51,27.13,-0.289,-33.759,1.217,-2.792,-0.323,22.341,8.136,2772.468,-7.483,4,9.5
"HRS "," IWRS "," SS ",17884,6042.761,19.885,6376.911,13.366,-94.799,3179.747,38.772,-35.27,9.74,4.948,4467.069,3590.358,198.991,5,6.03
"HRS "," DWRS "," SS ",17884,6361.483,28.054,6369.391,13.341,-131.15,3035.138,38.917,-39.341,9.911,2.14,4363.758,3591.891,226.381,5,6.03
"HRS "," CESD "," IWRS ",18839,2.159,0.014,6200.531,20.298,-0.033,-32.825,0.009,-0.511,-0.024,-103.606,1.632,4489.252,-1.408,5,6.03
"HRS "," CESD "," SS ",17819,2.085,0.014,6312.542,12.881,-0.032,-39.164,-0.344,0.256,-0.069,-4.269,1.61,3600.71,-1.607,5,6.03
"LASA "," RCPM "," MMSE ",2783,11.845,0.024,3.754,0.054,0.153,4.806,0.282,0.136,0.031,0.229,5.125,2.977,0.212,5,13.15
"LASA "," RCPM "," AlC ",2430,11.296,0.024,50.343,0.073,0.062,16.395,0.119,0.359,0.024,0.188,4.885,5.962,0.161,5,13.15
"LASA "," AlC "," MMSE ",2571,52.417,0.096,3.579,0.058,0.582,10.204,0.889,0.184,0.056,0.251,5.967,2.996,0.321,5,13.15
"OCTO "," DST "," BlK ",429,96.478,0.848,39.21,0.278,-1.517,48.921,-0.207,-0.239,0.375,-0.615,25.984,10.624,3.797,5,8.03
"OCTO "," DST "," MiR ",433,95.769,0.801,3.92,0.13,-1.162,9.103,0.919,0.313,0.205,0.143,26.355,2.064,0.846,5,8.03
"OCTO "," BlK "," MiR ",486,39.139,0.257,4.32,0.124,-0.457,6.006,0.573,0.219,0.116,0.132,10.659,2.047,0.629,5,8.03
"OCTO "," PEF "," BlK ",397,9695.482,39.254,38.904,0.284,-308.506,194.353,-5.023,-3.838,1.063,-0.721,2460.029,10.708,21.892,5,8.03
"OCTO "," PEF "," MiR ",568,9748.848,38.954,4.625,0.137,-283.573,40.143,5.377,-3.434,0.764,0.161,2537.874,2.111,0.033,5,8.03
"OCTO "," PEF "," DST ",366,9799.248,43.572,98.362,0.795,-331.96,347.794,-3.992,-17.542,3.144,-2.226,2489.178,26.441,6.658,5,8.03
